,AAPL UW Equity,ABNB UW Equity,ADBE UW Equity,ADI UW Equity,ADP UW Equity,ADSK UW Equity,AEP UW Equity,ALGN UW Equity,AMAT UW Equity,AMD UW Equity,AMGN UW Equity,AMZN UW Equity,ANSS UW Equity,ASML UW Equity,ATVI UW Equity,AVGO UW Equity,AZN UW Equity,BIDU UW Equity,BIIB UW Equity,BKNG UW Equity,CDNS UW Equity,CEG UW Equity,CHTR UW Equity,CMCSA UW Equity,COST UW Equity,CPRT UW Equity,CRWD UW Equity,CSCO UW Equity,CSX UW Equity,CTAS UW Equity,CTSH UW Equity,DDOG UW Equity,DLTR UW Equity,DOCU UW Equity,DXCM UW Equity,EA UW Equity,EBAY UW Equity,EXC UW Equity,FAST UW Equity,FISV UW Equity,FTNT UW Equity,GILD UW Equity,GOOG UW Equity,GOOGL UW Equity,HON UW Equity,IDXX UW Equity,ILMN UW Equity,INTC UW Equity,INTU UW Equity,ISRG UW Equity,JD UW Equity,KDP UW Equity,KHC UW Equity,KLAC UW Equity,LCID UW Equity,LRCX UW Equity,LULU UW Equity,MAR UW Equity,MCHP UW Equity,MDLZ UW Equity,MELI UW Equity,META UW Equity,MNST UW Equity,MRNA UW Equity,MRVL UW Equity,MSFT UW Equity,MTCH UW Equity,MU UW Equity,NFLX UW Equity,NTES UW Equity,NVDA UW Equity,NXPI UW Equity,ODFL UW Equity,OKTA UW Equity,ORLY UW Equity,PANW UW Equity,PAYX UW Equity,PCAR UW Equity,PDD UW Equity,PEP UW Equity,PYPL UW Equity,QCOM UW Equity,REGN UW Equity,ROST UW Equity,SBUX UW Equity,SGEN UW Equity,SIRI UW Equity,SNPS UW Equity,SPLK UW Equity,SWKS UW Equity,TEAM UW Equity,TMUS UW Equity,TSLA UW Equity,TXN UW Equity,VRSK UW Equity,VRSN UW Equity,VRTX UW Equity,WBA UW Equity,WDAY UW Equity,XEL UW Equity,ZM UW Equity,ZS UW Equity
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
4/14/2017,35.263,#N/A N/A,129.05,76.51,101.26,84.91,#N/A N/A,113.73,37.52,12.31,161.61,44.234,105.37,128.38,48.42,211.32,#N/A N/A,172.61,271.88,1738.77,31.11,#N/A N/A,330,37.14,168.84,29.65,#N/A N/A,32.42,15.4733,121.68,58.35,#N/A N/A,76.46,#N/A N/A,19.015,89.02,34.33,#N/A N/A,22.77,57.595,37.32,66.51,823.56,840.18,#N/A N/A,153.6,173.68,35.25,117.89,84.977,32.47,#N/A N/A,91.5,95.33,#N/A N/A,125.17,51.22,91.55,36.12,44.04,215.46,139.39,44.9,#N/A N/A,14.68,64.95,#N/A N/A,26.74,142.92,53.136,23.8725,103.23,53.7333,24.49,251.99,#N/A N/A,57.89,64.63,#N/A N/A,#N/A N/A,42.55,52.79,370.37,63.2,57.51,66.01,5.1,70.93,59.49,97.47,31.23,63.9216,60.8,77.84,79.11,87.68,113.8,82.48,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
4/17/2017,35.458,#N/A N/A,129.99,76.39,101.86,85.99,#N/A N/A,115.18,38.02,12.79,162.11,45.1,106.4,130.17,48.8,213.87,#N/A N/A,173.31,274.05,1770.61,31.38,#N/A N/A,330.36,37.2,169.7,29.92,#N/A N/A,32.61,15.7433,122.98,58.7,#N/A N/A,76.83,#N/A N/A,18.81,89.21,34.44,#N/A N/A,22.9,58.225,38.07,66.7,837.17,855.13,#N/A N/A,155.28,174.42,35.48,118.64,85.364,32.72,#N/A N/A,91.58,95.5,#N/A N/A,127.33,52,91.95,36.51,44.14,220.48,141.42,45.01,#N/A N/A,14.83,65.48,#N/A N/A,27.13,147.25,53.244,24.8075,103.17,54.8067,24.47,253.95,#N/A N/A,58.06,65.34,#N/A N/A,#N/A N/A,43.1,52.89,373.45,63.28,58.08,66.55,5.05,71.13,60.14,98.76,31.49,64.8199,60.288,78.72,80.07,88.84,114.81,83.13,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
4/18/2017,35.3,#N/A N/A,129.81,77.41,101.93,86.41,#N/A N/A,116.32,38.05,12.95,161.25,45.189,107.17,130.65,49.17,213.1,#N/A N/A,174.47,271.16,1763.31,32.16,#N/A N/A,328.18,37.59,170.13,29.82,#N/A N/A,32.67,15.5433,122.37,57.87,#N/A N/A,77.43,#N/A N/A,18.44,89.2,34.02,#N/A N/A,22.13,58.175,38.52,66.06,836.82,853.99,#N/A N/A,155.68,175.29,35.765,119.35,84.371,32.84,#N/A N/A,92.5,94.6,#N/A N/A,127.43,51.93,92.02,37.065,44.74,217.83,140.96,45.31,#N/A N/A,14.89,65.39,#N/A N/A,27.14,143.36,52.84,24.8225,103.31,54.46,23.57,256.06,#N/A N/A,58.22,64.2,#N/A N/A,#N/A N/A,43.09,52.67,366.06,63.41,58.35,66.65,5.06,71.76,61.1,99.03,31.59,64.4905,60.05,79.61,80.63,88.42,114.65,82.82,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
4/19/2017,35.17,#N/A N/A,130.22,76.99,102.07,87.93,#N/A N/A,117.55,39.25,12.84,161.26,44.96,107.78,126.89,49.35,213.63,#N/A N/A,177.81,271.94,1763.2,32.45,#N/A N/A,333.61,37.53,170.06,29.98,#N/A N/A,32.65,15.6433,122.65,57.97,#N/A N/A,78.02,#N/A N/A,18.525,89.65,33.855,#N/A N/A,22.725,58.275,38.43,66.28,838.21,856.51,#N/A N/A,157.08,178.03,35.91,118.97,89.744,33.36,#N/A N/A,91.85,97.59,#N/A N/A,136.17,52.2,91.49,37.43,44.62,218.83,142.27,45.1,#N/A N/A,14.9,65.04,#N/A N/A,27.26,139.76,52.576,24.92,104.23,54.54,23.35,258.87,#N/A N/A,58.08,64.56,#N/A N/A,#N/A N/A,43.3,52.61,370.96,63.73,59.04,66.565,5.07,72.23,61.63,99.24,31.83,65.0096,61.104,79.37,80.77,88.82,114.63,83.51,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
4/20/2017,35.61,#N/A N/A,131.42,78.66,103.04,88.41,#N/A N/A,118.87,39.89,13.11,162.04,45.103,108.01,130.05,49.95,218.21,#N/A N/A,178.64,272.46,1760.8,32.77,#N/A N/A,335.59,38,170.15,30.23,#N/A N/A,32.83,16.52,123.1,57.78,#N/A N/A,79.57,#N/A N/A,18.975,91.21,32.53,#N/A N/A,22.735,58.895,38.51,66.5,841.65,860.08,#N/A N/A,159.52,177.16,36.18,118.27,90.494,33.97,#N/A N/A,92.04,98.51,#N/A N/A,139.36,53.61,92.77,37.815,44.98,223.41,143.8,45.74,#N/A N/A,14.94,65.5,#N/A N/A,27.96,141.18,53.228,25.315,104.43,55.6867,24.01,263,#N/A N/A,58.65,65.88,#N/A N/A,#N/A N/A,43.69,52.66,376.4,64.66,60.08,67.04,5.07,72.56,62.03,101.63,31.27,64.6902,60.502,80.76,81.37,88.71,117.26,84.14,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
4/21/2017,35.568,#N/A N/A,131.52,77.63,102.69,88.58,#N/A N/A,118.44,39.79,13,160.41,44.927,108,130.03,49.87,217.66,#N/A N/A,178.08,272.94,1752.01,32.88,#N/A N/A,338.48,38.16,170.77,30.24,#N/A N/A,32.82,16.9233,123.14,57.85,#N/A N/A,78.81,#N/A N/A,18.8075,91.94,32.18,#N/A N/A,22.87,59.2,39.53,65.93,843.19,858.95,#N/A N/A,159.12,175.29,36.32,118.36,90.381,34.35,#N/A N/A,91.6,98.37,#N/A N/A,139.98,53.08,92.47,37.215,44.94,223.82,143.68,45.39,#N/A N/A,14.9,66.4,#N/A N/A,27.32,142.87,53.794,25.42,104.36,56.22,24.29,265.36,#N/A N/A,59.14,65.76,#N/A N/A,#N/A N/A,43.81,52.5,370.12,64.9,60.61,65.34,5.07,72.6,62.44,101.6,31.54,64.5804,61.12,79.81,81.65,88.45,116.7,84.03,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
4/24/2017,35.91,#N/A N/A,132.89,79.22,104.14,90.14,#N/A N/A,120.34,40.44,13.13,163.14,45.371,109.6,133.46,50.88,221.24,#N/A N/A,180.03,276.86,1798.62,33.48,#N/A N/A,340.36,38.01,172.33,30.68,#N/A N/A,33.28,16.71,125.45,58.89,#N/A N/A,79.79,#N/A N/A,18.7225,92.81,32.05,#N/A N/A,22.705,59.72,39.91,66.25,862.76,878.93,#N/A N/A,161.87,180.2,36.75,118.76,91.353,34.57,#N/A N/A,92.56,100.83,#N/A N/A,142.51,52.75,93.52,37.975,45.39,225.9,145.47,45.47,#N/A N/A,15.06,67.53,#N/A N/A,26.57,143.83,54.828,25.7375,104.77,57.5267,23.94,269.28,#N/A N/A,59.42,67.73,#N/A N/A,#N/A N/A,44.27,52.81,371.93,65.06,61.11,65.53,5.13,73.85,63.48,103.91,32.02,65.8081,61.606,81.08,82.66,88.5,117.66,84.28,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
4/25/2017,36.133,#N/A N/A,133.49,79.35,105.01,90.32,#N/A N/A,118.78,40.79,13.49,164.7,45.381,109.77,134.24,51.36,223.2,#N/A N/A,186.99,286.89,1799.09,31.93,#N/A N/A,344.5,38.49,172.68,30.86,#N/A N/A,33.42,16.98,125.11,59.09,#N/A N/A,80.69,#N/A N/A,18.735,92.99,32.81,#N/A N/A,22.86,59.81,40.27,67.12,872.3,888.84,#N/A N/A,162.43,181.5,36.87,119.08,91.916,34.96,#N/A N/A,92.29,101.71,#N/A N/A,145.76,52.46,94.57,38.365,45.51,230.63,146.49,45.37,#N/A N/A,15.49,67.92,#N/A N/A,26.99,152.16,55.592,26.185,105.21,57.3733,24.71,263.96,#N/A N/A,59.55,65.76,#N/A N/A,#N/A N/A,44.71,53,372.32,64.75,60.96,66.8,5.205,73.34,63.85,104,32.57,67.2255,62.758,82.36,82.97,89.28,117.27,85.92,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
4/26/2017,35.92,#N/A N/A,132.79,77.98,104.86,90.23,#N/A N/A,119.74,40.71,13.41,164.61,45.465,110,132.46,51.36,221.68,#N/A N/A,186.67,279.98,1804.12,31.75,#N/A N/A,345.4,38.79,176.8,30.99,#N/A N/A,33.4,16.93,124.23,59.42,#N/A N/A,81.73,#N/A N/A,18.92,93.5,33.01,#N/A N/A,22.905,59.995,39.9,68.22,871.73,889.14,#N/A N/A,162.82,184.58,36.93,115.81,92.669,34.94,#N/A N/A,90.92,100.8,#N/A N/A,145.51,52.72,96.3,38.075,45.12,228.28,146.56,45.11,#N/A N/A,14.72,67.83,#N/A N/A,26.79,150.17,53.08,26.005,105.47,58.0867,25.52,265.07,#N/A N/A,59.7,65.34,#N/A N/A,#N/A N/A,44.41,53.04,371.39,65.05,61.56,66.93,5.11,73.25,63.72,102.97,32.82,67.455,62.034,81.11,83.18,88.84,116.34,85.92,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
